Country,Year,"Death rates per 100,000",GDP per capita,Population,Continent,,
Afghanistan,2000,531.4,502.37,20779957,Asia,,
Afghanistan,2005,500.1,964.41,25654274,Asia,,
Afghanistan,2010,463.6,1627.67,29185511,Asia,,
Afghanistan,2015,427.3,1928,34413603,Asia,,
Albania,2000,120.2,4808.48,3129246,Europe,,
Albania,2005,94.3,6858.47,3086810,Europe,,
Albania,2010,70.8,9222.97,2948029,Europe,,
Albania,2015,62.5,10032,2890524,Europe,,
Algeria,2000,58.3,6834.55,31042238,Africa,,
Algeria,2005,48.9,9969.62,33149720,Africa,,
Algeria,2010,42.4,12587.74,35977451,Africa,,
Algeria,2015,47.4,14004,39728020,Africa,,
Angola,2000,329.3,2013.64,16395476,Africa,,
Angola,2005,287.1,3708.77,19433604,Africa,,
Angola,2010,260.6,7520.67,23356247,Africa,,
Angola,2015,249.3,8689,27884380,Africa,,
Argentina,2000,47.9,14368.94,36870796,South America,,
Argentina,2005,42.8,15344.16,38892924,South America,,
Argentina,2010,39.5,18979.99,40895751,South America,,
Argentina,2015,36,19502,43075416,South America,,
Armenia,2000,123.8,5139.83,3069597,Europe,,
Armenia,2005,89.5,8006.96,2981262,Europe,,
Armenia,2010,77.7,8330.81,2877314,Europe,,
Armenia,2015,67.4,10042,2925559,Europe,,
Australia,2000,15.9,36603.05,18991434,Oceania,,
Australia,2005,12.4,41904.45,20178543,Oceania,,
Australia,2010,9.2,45400.22,22154687,Oceania,,
Australia,2015,9,48357,23932499,Oceania,,
Austria,2000,35.6,34796.26,8069276,Europe,,
Austria,2005,27.7,37642.76,8253656,Europe,,
Austria,2010,24.1,40288.35,8409945,Europe,,
Austria,2015,23.8,41294,8678667,Europe,,
Azerbaijan,2000,181,4214.89,8122743,Europe,,
Azerbaijan,2005,130.8,7553.63,8538610,Europe,,
Azerbaijan,2010,120.3,16153.84,9032465,Europe,,
Azerbaijan,2015,96.2,17460,9622741,Europe,,
Bahrain,2000,89.6,17021.72,664610,Asia,,
Bahrain,2005,69.3,25230.9,889157,Asia,,
Bahrain,2010,53.8,34057.71,1240864,Asia,,
Bahrain,2015,48.5,40483,1371853,Asia,,
Bangladesh,2000,237.5,1485.31,127657862,Asia,,
Bangladesh,2005,245.5,1925.61,139035505,Asia,,
Bangladesh,2010,243.3,2599.21,147575433,Asia,,
Bangladesh,2015,229.3,3402,156256287,Asia,,
Barbados,2000,36.6,12600.02,271511,North America,,
Barbados,2005,30,12379.45,276320,North America,,
Barbados,2010,26.6,11954.32,282131,North America,,
Barbados,2015,26.8,11849,285327,North America,,
Belarus,2000,122.7,9110.98,9871635,Europe,,
Belarus,2005,102.8,12629.56,9562083,Europe,,
Belarus,2010,89.3,17172.46,9420576,Europe,,
Belarus,2015,84.1,18136,9439424,Europe,,
Belgium,2000,38.5,33719.77,10282046,Europe,,
Belgium,2005,31.3,36338.38,10546885,Europe,,
Belgium,2010,27.4,37739.33,10938735,Europe,,
Belgium,2015,25.9,38569,11287931,Europe,,
Benin,2000,272.5,1908.94,6865946,Africa,,
Benin,2005,258.6,1875.92,7982223,Africa,,
Benin,2010,255.2,1854.67,9199254,Africa,,
Benin,2015,246.2,2055,10575962,Africa,,
Bolivia,2000,121.5,4173.55,8418270,South America,,
Bolivia,2005,113.9,4445.35,9232301,South America,,
Bolivia,2010,91.9,5141.76,10048597,South America,,
Bolivia,2015,79.2,6200,10869732,South America,,
Bosnia and Herzegovina,2000,125.9,7082.04,3751176,Europe,,
Bosnia and Herzegovina,2005,95.9,8057.68,3765332,Europe,,
Bosnia and Herzegovina,2010,89,8982.46,3705478,Europe,,
Bosnia and Herzegovina,2015,82.3,9495,3429362,Europe,,
Botswana,2000,245.9,8044.14,1643333,Africa,,
Botswana,2005,229.7,9798.09,1799077,Africa,,
Botswana,2010,181.2,12544.73,1987106,Africa,,
Botswana,2015,148.9,14805,2120716,Africa,,
Brazil,2000,82.5,9834.42,174790339,South America,,
Brazil,2005,61,11305.77,186127108,South America,,
Brazil,2010,44.9,14215.61,195713637,South America,,
Brazil,2015,42,15826,204471759,South America,,
Bulgaria,2000,121.5,8410.8,7997951,Europe,,
Bulgaria,2005,96.9,11758.08,7686964,Europe,,
Bulgaria,2010,87.2,14686.46,7425011,Europe,,
Bulgaria,2015,79.6,16373,7199739,Europe,,
Burkina Faso,2000,247.1,1275.48,11607951,Africa,,
Burkina Faso,2005,226.8,1309.98,13421935,Africa,,
Burkina Faso,2010,216.4,1326.2,15605211,Africa,,
Burkina Faso,2015,209.3,1450,18110616,Africa,,
Burundi,2000,349.8,739.76,6378871,Africa,,
Burundi,2005,263.7,691.62,7364857,Africa,,
Burundi,2010,221,717.61,8675606,Africa,,
Burundi,2015,228.3,694,10160034,Africa,,
Cambodia,2000,247.4,1659.09,12155241,Asia,,
Cambodia,2005,222.8,2144.85,13273355,Asia,,
Cambodia,2010,191.3,2426.69,14312205,Asia,,
Cambodia,2015,171.8,3086,15521435,Asia,,
Cameroon,2000,295.7,1961.09,15513944,Africa,,
Cameroon,2005,276.7,2222.91,17733408,Africa,,
Cameroon,2010,250.8,2420.13,20341236,Africa,,
Cameroon,2015,233.3,2778,23298376,Africa,,
Canada,2000,19.7,36942.56,30588379,North America,,
Canada,2005,17.1,40485.02,32164313,North America,,
Canada,2010,13.3,41209.43,34147566,North America,,
Canada,2015,12.9,43619,36026668,North America,,
Cape Verde,2000,176.4,3583.59,428178,Africa,,
Cape Verde,2005,152.6,4659.4,463034,Africa,,
Cape Verde,2010,128.8,6033.72,492644,Africa,,
Cape Verde,2015,110.9,6266,524740,Africa,,
Central African Republic,2000,410.2,963.95,3640421,Africa,,
Central African Republic,2005,401.1,858.52,4038380,Africa,,
Central African Republic,2010,393.4,910.31,4386765,Africa,,
Central African Republic,2015,391.4,576,4493171,Africa,,
Chad,2000,289.9,716.04,8355654,Africa,,
Chad,2005,277.2,1266.11,10096630,Africa,,
Chad,2010,274.5,1720.33,11952134,Africa,,
Chad,2015,260.7,2384,14110971,Africa,,
Chile,2000,44.6,15211.62,15342350,South America,,
Chile,2005,37.4,17137.49,16182713,South America,,
Chile,2010,33.2,18909.85,17062531,South America,,
Chile,2015,30.1,21589,17969356,South America,,
China,2000,221.9,4730.35,1290550767,Asia,,
China,2005,197.2,6626.59,1330776380,Asia,,
China,2010,151,9658.42,1368810604,Asia,,
China,2015,121,12244,1406847868,Asia,,
Colombia,2000,66.3,8496.79,39629965,South America,,
Colombia,2005,62.5,9524.72,42647731,South America,,
Colombia,2010,53.4,11191.69,45222699,South America,,
Colombia,2015,43.7,13218,47520667,South America,,
Comoros,2000,212.7,1204.4,542358,Africa,,
Comoros,2005,165.2,1265.69,611625,Africa,,
Comoros,2010,151.5,1432.56,689696,Africa,,
Comoros,2015,152.5,1696,777435,Africa,,
Congo,2000,363.5,4159.22,3127420,Africa,,
Congo,2005,298.5,4820.71,3622775,Africa,,
Congo,2010,270.5,5738.16,4273738,Africa,,
Congo,2015,252.7,6272,4856093,Africa,,
Costa Rica,2000,45.8,9319.77,3962369,North America,,
Costa Rica,2005,35,10308.37,4285504,North America,,
Costa Rica,2010,25,12031.57,4577371,North America,,
Costa Rica,2015,26.4,13677,4847805,North America,,
Cote d'Ivoire,2000,294.8,2352.86,16454660,Africa,,
Cote d'Ivoire,2005,264,2312.84,18354513,Africa,,
Cote d'Ivoire,2010,241.1,2555.02,20532944,Africa,,
Cote d'Ivoire,2015,226.9,3218,23226148,Africa,,
Croatia,2000,84.2,13244.54,4428075,Europe,,
Croatia,2005,64.8,17581.36,4378066,Europe,,
Croatia,2010,55.2,19511.35,4328163,Europe,,
Croatia,2015,52.2,19698,4232874,Europe,,
Cuba,2000,82,4009.34,11126423,North America,,
Cuba,2005,59.9,4713.71,11261586,North America,,
Cuba,2010,42.8,6578.19,11225833,North America,,
Cuba,2015,43.5,7889,11324777,North America,,
Cyprus,2000,38.4,22326.8,943288,Europe,,
Cyprus,2005,28.4,26164.21,1027656,Europe,,
Cyprus,2010,24.6,27630.1,1112617,Europe,,
Cyprus,2015,22.5,24963,1160987,Europe,,
Czechia,2000,67.3,17056.16,10289374,Europe,,
Czechia,2005,54.1,22128.58,10258165,Europe,,
Czechia,2010,48.4,25922.39,10536514,Europe,,
Czechia,2015,44.6,28194,10601390,Europe,,
Denmark,2000,32.6,39021.18,5341192,Europe,,
Denmark,2005,26.6,42264.63,5421701,Europe,,
Denmark,2010,24,42932.4,5554849,Europe,,
Denmark,2015,22.6,44635,5688695,Europe,,
Djibouti,2000,138.9,1881,717577,Africa,,
Djibouti,2005,136,2126.81,783248,Africa,,
Djibouti,2010,133,2543.87,840194,Africa,,
Djibouti,2015,133.8,2941,913998,Africa,,
Dominica,2000,51.3,5696.96,69650,North America,,
Dominica,2005,43.1,6697.53,70580,North America,,
Dominica,2010,37.4,8768.48,70877,North America,,
Dominica,2015,35.4,9319,71175,North America,,
Dominican Republic,2000,63.1,6788.08,8471317,North America,,
Dominican Republic,2005,58.2,8156.43,9097262,North America,,
Dominican Republic,2010,56.4,11276.46,9695117,North America,,
Dominican Republic,2015,52.3,13762,10281675,North America,,
Ecuador,2000,55.8,6908.24,12681123,South America,,
Ecuador,2005,45.7,8256.78,13825839,South America,,
Ecuador,2010,34.6,9327.21,15011114,South America,,
Ecuador,2015,29.9,10905,16212022,South America,,
Egypt,2000,114.7,6593.53,68831561,Africa,,
Egypt,2005,115.9,8021.88,75523576,Africa,,
Egypt,2010,122,10719.29,82761244,Africa,,
Egypt,2015,115,11159,92442549,Africa,,
El Salvador,2000,90.3,5403.71,5887930,North America,,
El Salvador,2005,75.4,6441.5,6052124,North America,,
El Salvador,2010,60.1,7351.11,6183877,North America,,
El Salvador,2015,56.2,8109,6325121,North America,,
Equatorial Guinea,2000,319.5,12914.85,606180,Africa,,
Equatorial Guinea,2005,246.6,35569.71,749527,Africa,,
Equatorial Guinea,2010,226.9,42037.9,943640,Africa,,
Equatorial Guinea,2015,214.5,37822,1168575,Africa,,
Estonia,2000,81.4,16806.97,1399111,Europe,,
Estonia,2005,58.3,22518.54,1355650,Europe,,
Estonia,2010,35.7,20713.43,1332103,Europe,,
Estonia,2015,33,24493,1315330,Europe,,
Eswatini,2000,279.2,4894.52,1005432,Africa,,
Eswatini,2005,337.6,5867.23,1030575,Africa,,
Eswatini,2010,297,7192.75,1064841,Africa,,
Eswatini,2015,251.8,7969,1104038,Africa,,
Ethiopia,2000,263.2,771.73,66224808,Africa,,
Ethiopia,2005,231.3,829.24,76346310,Africa,,
Ethiopia,2010,192.1,1106.38,87639962,Africa,,
Ethiopia,2015,181.4,1553,100835453,Africa,,
Finland,2000,22,32689.77,5187953,Europe,,
Finland,2005,16.9,36787.26,5258933,Europe,,
Finland,2010,15,37615.11,5365784,Europe,,
Finland,2015,14.2,36836,5481128,Europe,,
France,2000,22.1,33409.68,59015092,Europe,,
France,2005,17.6,35495.46,61120128,Europe,,
France,2010,15.5,36086.73,62879535,Europe,,
France,2015,15.4,36827,64453194,Europe,,
Gabon,2000,211.8,10637.8,1228359,Africa,,
Gabon,2005,169.1,12437.96,1390550,Africa,,
Gabon,2010,126.4,14926.7,1624146,Africa,,
Gabon,2015,114.8,18389,1947690,Africa,,
Gambia,2000,231.8,1440.86,1317708,Africa,,
Gambia,2005,218.9,1541.61,1543745,Africa,,
Gambia,2010,209,1772.73,1793199,Africa,,
Gambia,2015,201.1,1786,2085860,Africa,,
Georgia,2000,155.7,4891.66,4362184,Europe,,
Georgia,2005,145.3,6849.79,4210158,Europe,,
Georgia,2010,122.8,8443.44,4099095,Europe,,
Georgia,2015,105.3,10603,4024180,Europe,,
Germany,2000,34.7,33367.28,81400883,Europe,,
Germany,2005,27.9,36205.58,81602739,Europe,,
Germany,2010,24.8,41109.58,80827001,Europe,,
Germany,2015,23.8,44293,81787411,Europe,,
Ghana,2000,252.8,2100.29,19278850,Africa,,
Ghana,2005,242.6,2411.29,21814648,Africa,,
Ghana,2010,224.1,2946.04,24779614,Africa,,
Ghana,2015,204.9,3809,27849203,Africa,,
Greece,2000,34.7,20965.33,11082103,Europe,,
Greece,2005,29.1,26091.52,11224800,Europe,,
Greece,2010,27.8,26517.47,10887640,Europe,,
Greece,2015,29.1,22442,10659737,Europe,,
Guatemala,2000,144,5860.27,11650744,North America,,
Guatemala,2005,121.6,6130.48,13096028,North America,,
Guatemala,2010,100.3,6526.46,14630420,North America,,
Guatemala,2015,89.3,7138,16252425,North America,,
Guinea,2000,274.3,1046.57,8240735,Africa,,
Guinea,2005,258.3,1186.6,9109585,Africa,,
Guinea,2010,262.6,1291.7,10192168,Africa,,
Guinea,2015,258.7,1364,11432096,Africa,,
Guinea-Bissau,2000,302.2,1230.64,1201305,Africa,,
Guinea-Bissau,2005,301.9,1226.56,1344931,Africa,,
Guinea-Bissau,2010,304,1329.37,1522603,Africa,,
Guinea-Bissau,2015,290.3,1393,1737207,Africa,,
Haiti,2000,237.6,1520.73,8463802,North America,,
Haiti,2005,224.4,1461.8,9195289,North America,,
Haiti,2010,212.4,1556.55,9949318,North America,,
Haiti,2015,201.7,1742,10695540,North America,,
Honduras,2000,157.2,3335.72,6574510,North America,,
Honduras,2005,147.7,3851.06,7458982,North America,,
Honduras,2010,128.2,4305.89,8317467,North America,,
Honduras,2015,116.9,4706,9112904,North America,,
Hungary,2000,95.8,13129.27,10220509,Europe,,
Hungary,2005,80.4,18140.62,10085942,Europe,,
Hungary,2010,71,20036.33,9927380,Europe,,
Hungary,2015,57.4,22788,9777925,Europe,,
Iceland,2000,19.6,33108.29,280439,Europe,,
Iceland,2005,16.1,37884.06,294976,Europe,,
Iceland,2010,13.7,36272.69,320342,Europe,,
Iceland,2015,12.7,39727,330237,Europe,,
India,2000,287.9,2753.09,1056575548,Asia,,
India,2005,259.8,3396.65,1147609924,Asia,,
India,2010,241.5,4525.75,1234281163,Asia,,
India,2015,223.1,5794,1310152392,Asia,,
Indonesia,2000,116.2,5384.39,211513822,Asia,,
Indonesia,2005,111.5,6482.01,226289468,Asia,,
Indonesia,2010,99.2,8386.43,241834226,Asia,,
Indonesia,2015,82.5,10484,258383257,Asia,,
Iran,2000,86.7,9104.76,65623397,Asia,,
Iran,2005,80.9,13110.14,69762345,Asia,,
Iran,2010,80.2,17751.33,73762519,Asia,,
Iran,2015,73.6,16253,78492208,Asia,,
Iraq,2000,141.6,3649.49,23497589,Asia,,
Iraq,2005,141.1,6441.41,26922279,Asia,,
Iraq,2010,147.8,10274.33,29741977,Asia,,
Iraq,2015,113.8,13014,35572269,Asia,,
Ireland,2000,31.1,38806.5,3783095,Europe,,
Ireland,2005,23.7,49223.38,4141218,Europe,,
Ireland,2010,20.1,48623.81,4554330,Europe,,
Ireland,2015,20,54278,4652420,Europe,,
Israel,2000,31.1,26058.84,5945949,Europe,,
Israel,2005,26.1,25686.41,6529470,Europe,,
Israel,2010,21.9,28575.53,7346446,Europe,,
Israel,2015,23.4,30954,7978496,Europe,,
Italy,2000,28.3,32716.98,56692178,Europe,,
Italy,2005,23,34872.13,58281209,Europe,,
Italy,2010,20.5,34765.94,59325232,Europe,,
Italy,2015,23.6,33118,60578489,Europe,,
Jamaica,2000,56.2,6531.28,2654698,North America,,
Jamaica,2005,45.5,7073.77,2740000,North America,,
Jamaica,2010,40.5,7025.93,2810464,North America,,
Jamaica,2015,42,7024,2891024,North America,,
Japan,2000,20.7,33210.81,127524168,Asia,,
Japan,2005,19.6,34857.76,128326115,Asia,,
Japan,2010,17.2,35011.4,128542349,Asia,,
Japan,2015,17.3,37031,127985139,Asia,,
Jordan,2000,66.6,7621.84,5122495,Asia,,
Jordan,2005,59,9860.81,5765639,Asia,,
Jordan,2010,44.7,11601.09,7261541,Asia,,
Jordan,2015,43.7,11519,9266573,Asia,,
Kazakhstan,2000,162.6,9309.42,14922724,Asia,,
Kazakhstan,2005,142.6,15233.84,15402803,Asia,,
Kazakhstan,2010,106.1,19964.53,16252273,Asia,,
Kazakhstan,2015,95.8,23850,17572010,Asia,,
Kenya,2000,149.7,1914.89,31964557,Africa,,
Kenya,2005,139.4,2157.84,36624897,Africa,,
Kenya,2010,134.4,2579.53,42030684,Africa,,
Kenya,2015,129,3046,47878339,Africa,,
Kuwait,2000,65.8,35844.75,2045123,Asia,,
Kuwait,2005,68.1,62959.6,2270196,Asia,,
Kuwait,2010,76.7,68865.31,2991884,Asia,,
Kuwait,2015,55.2,71354,3835588,Asia,,
Kyrgyzstan,2000,203.8,3246.38,4920712,Asia,,
Kyrgyzstan,2005,186.9,3554.19,5075340,Asia,,
Kyrgyzstan,2010,161.8,3977.65,5422298,Asia,,
Kyrgyzstan,2015,133.5,4754,5959126,Asia,,
Laos,2000,280,2262.24,5323701,Asia,,
Laos,2005,247.2,2948.7,5751675,Asia,,
Laos,2010,212.7,4114.01,6249168,Asia,,
Laos,2015,191.1,5559,6741160,Asia,,
Latvia,2000,97.1,11309.74,2384150,Europe,,
Latvia,2005,85.5,17069.66,2251996,Europe,,
Latvia,2010,64.9,17140.23,2118855,Europe,,
Latvia,2015,59.3,21488,1997675,Europe,,
Lebanon,2000,51.9,7405.71,3842774,Asia,,
Lebanon,2005,46.3,9933.08,4698761,Asia,,
Lebanon,2010,47.3,15622.37,4953064,Asia,,
Lebanon,2015,46,12953,6532681,Asia,,
Lesotho,2000,239.8,1967.43,2032805,Africa,,
Lesotho,2005,308.3,2013.81,1996115,Africa,,
Lesotho,2010,288.7,2313.88,1995575,Africa,,
